[python_calc] | 2020-03-03 10:47:18,915 | DEBUG | > На запись ушло 0.011998
[python_calc] | 2020-03-03 10:47:21,005 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:47:21,017 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:21,075 | DEBUG | > На запись ушло 0.057005
[python_calc] | 2020-03-03 10:47:21,948 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:21,961 | DEBUG | > На запись ушло 0.012003999999999999
[python_calc] | 2020-03-03 10:47:24,012 | DEBUG | > На расчёт 207 переменных ушло 0.015002999999999999
[python_calc] | 2020-03-03 10:47:24,026 | DEBUG | > На запись ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:25,264 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:47:25,277 | DEBUG | > На расчёт 207 переменных ушло 0.013
[python_calc] | 2020-03-03 10:47:25,335 | DEBUG | > На запись ушло 0.058004
[python_calc] | 2020-03-03 10:47:26,174 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:26,234 | DEBUG | > На запись ушло 0.059004999999999995
[python_calc] | 2020-03-03 10:47:27,075 | DEBUG | > На расчёт 207 переменных ушло 0.015002
[python_calc] | 2020-03-03 10:47:27,084 | DEBUG | > На запись ушло 0.009002
[python_calc] | 2020-03-03 10:47:28,345 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:28,357 | DEBUG | > На запись ушло 0.012005
[python_calc] | 2020-03-03 10:47:29,211 | DEBUG | > На расчёт 207 переменных ушло 0.015002
[python_calc] | 2020-03-03 10:47:29,220 | DEBUG | > На запись ушло 0.009001
[python_calc] | 2020-03-03 10:47:30,069 | DEBUG | > На расчёт 207 переменных ушло 0.013002999999999999
[python_calc] | 2020-03-03 10:47:30,081 | DEBUG | > На запись ушло 0.011
[python_calc] | 2020-03-03 10:47:31,332 | DEBUG | > На расчёт 207 переменных ушло 0.013
[python_calc] | 2020-03-03 10:47:31,344 | DEBUG | > На запись ушло 0.011005
[python_calc] | 2020-03-03 10:47:32,177 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:47:32,191 | DEBUG | > На запись ушло 0.014003
[python_calc] | 2020-03-03 10:47:33,045 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:47:33,059 | DEBUG | > На расчёт 207 переменных ушло 0.014001999999999999
[python_calc] | 2020-03-03 10:47:33,069 | DEBUG | > На запись ушло 0.010001
[python_calc] | 2020-03-03 10:47:34,313 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:34,325 | DEBUG | > На запись ушло 0.012005
[python_calc] | 2020-03-03 10:47:35,173 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:47:35,185 | DEBUG | > На запись ушло 0.012001
[python_calc] | 2020-03-03 10:47:36,440 | DEBUG | > На расчёт 207 переменных ушло 0.013018
[python_calc] | 2020-03-03 10:47:36,453 | DEBUG | > На запись ушло 0.012983999999999999
[python_calc] | 2020-03-03 10:47:37,308 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:47:37,320 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:37,332 | DEBUG | > На запись ушло 0.011004
[python_calc] | 2020-03-03 10:47:38,173 | DEBUG | > На расчёт 207 переменных ушло 0.014001999999999999
[python_calc] | 2020-03-03 10:47:38,187 | DEBUG | > На запись ушло 0.013999999999999999
[python_calc] | 2020-03-03 10:47:39,419 | DEBUG | > На расчёт 207 переменных ушло 0.013002999999999999
[python_calc] | 2020-03-03 10:47:39,431 | DEBUG | > На запись ушло 0.011005
[python_calc] | 2020-03-03 10:47:40,282 | DEBUG | > На расчёт 207 переменных ушло 0.011998
[python_calc] | 2020-03-03 10:47:40,292 | DEBUG | > На запись ушло 0.009
